warehouse_id,item_name,avg_daily_demand_total,safety_stock,lead_time,recommended_stock
WH001,계란 1판,44.96911917877649,60,3,194
WH001,돈코츠 육수 1팩,59.006691181928154,80,5,375
WH001,마늘 1봉지,27.607245487420293,40,2,95
WH001,쪽파 1봉지,36.40201976147065,50,2,122
WH001,차슈 1kg,20.641675427241967,30,7,174
WH002,계란 1판,47.6601882249593,60,3,202
WH002,돈코츠 육수 1팩,62.19243714530655,80,5,390
WH002,마늘 1봉지,29.26785944907746,40,2,98
WH002,쪽파 1봉지,38.230529095759785,50,2,126
WH002,차슈 1kg,22.36713943327174,30,7,186
WH003,계란 1판,49.90686960509834,60,3,209
WH003,돈코츠 육수 1팩,65.25998951355679,80,5,406
WH003,마늘 1봉지,30.300695909301062,40,2,100
WH003,쪽파 1봉지,40.69854155439531,50,2,131
WH003,차슈 1kg,23.29247202266354,30,7,193
WH004,계란 1판,52.23297403670053,60,3,216
WH004,돈코츠 육수 1팩,67.84922642670743,80,5,419
WH004,마늘 1봉지,32.00011473289915,40,2,104
WH004,쪽파 1봉지,41.70253687850873,50,2,133
WH004,차슈 1kg,24.114080097435462,30,7,198
WH005,계란 1판,54.49609256316069,60,3,223
WH005,돈코츠 육수 1팩,71.53516830273206,80,5,437
WH005,마늘 1봉지,33.16787770751919,40,2,106
WH005,쪽파 1봉지,43.82454508989745,50,2,137
WH005,차슈 1kg,25.76261567456543,30,7,210
